PlayerID,Name,Team,Orig_pos,Gen_pos,YrsPro,Ht,Wt,Season,FPPG_2016,FPPG_2017,FPPG_2018,FPPG_2019,FPPG_2020,FPPG_2021,FPPG_2022,FPPG_2023,FPPG_2024,FPPG_2025,STDEV_2016,STDEV_2017,STDEV_2018,STDEV_2019,STDEV_2020,STDEV_2021,STDEV_2022,STDEV_2023,STDEV_2024,STDEV_2025
ZylsBr00,Brandon Zylstra,Carolina Panthers,WR,WR,1,74,215,2019,,,0.125,1.857072083,0.916486026,1.466598487,1.101550625,0.861391377,0.590917319,0.0794831,,,0,3.815126113,2.969769728,2.910448569,2.692680271,2.320257284,1.478200602,1.727764847
BrauBe00,Ben Braunecker,Chicago Bears,TE,TE,3,75,247,2019,0.25,0,0.25,0.61575421,0.377279595,0.313460392,0.213653658,0.001342323,-0.074872572,-0.137042511,0,0,0,1.802320545,1.574809971,1.563043328,1.467959169,1.40266903,1.252125067,1.218502565
BurtTr01,Trey Burton,Chicago Bears,TE,TE,5,74,238,2019,2.4375,3.5625,5.8125,4.147186816,3.919040492,3.313451116,2.598782879,1.821358342,0.848940779,0.144529659,0,0,0,2.510936924,2.216128958,2.404639963,1.967066414,1.909641955,1.907474367,1.699676983
CoheTa00,Tarik Cohen,Chicago Bears,RB,RB,2,66,191,2019,,6.0625,10.1875,7.91056,8.543377376,8.586087981,8.505722001,8.465328554,8.35369017,8.200727632,,0,0,3.84,3.84,3.84,3.84,3.84,3.84,3.84
DaniCh00,Chase Daniel,Chicago Bears,QB,QB,9,72,229,2019,0.0625,0,1.875,1.251303635,1.239738379,1.223103134,1.142287967,1.082175354,1.016243347,0.94795918,0,0,0,3.84,3.84,3.84,3.84,3.84,3.84,3.84
DaviMi01,Mike Davis,Chicago Bears,RB,RB,4,69,221,2019,0.75,2.3125,6.4375,4.744441206,5.009164723,5.032000546,4.916451563,4.841338272,4.726684456,4.588855019,0,0,0,3.84,3.84,3.84,3.84,3.84,3.84,3.84
GabrTa00,Taylor Gabriel,Chicago Bears,WR,WR,5,67,168,2019,6.5625,3.0625,5.3125,4.176387405,3.064075015,2.202556162,1.062744132,-0.109848934,-0.301126528,-0.531626811,0,0,0,3.172259798,3.39025038,3.427647661,3.286223406,2.91770857,2.527260414,2.054600913
MillAn02,Anthony Miller,Chicago Bears,WR,WR,1,71,199,2019,,,5.4375,5.671784304,5.865035477,5.829175729,5.588981157,4.821437918,3.980311584,3.078113225,,,0,4.039094632,3.792621214,3.551057742,3.463692561,3.271223017,3.065758188,2.832161569
MontDa01,David Montgomery,Chicago Bears,RB,RB,0,70,222,2019,,,,2.70985,2.75354112,2.791057584,2.816028797,2.824706975,2.818738582,2.797696056,,,,3.84,3.84,3.84,3.84,3.84,3.84,3.84
PattCo00,Cordarrelle Patterson,Chicago Bears,WR,WR,6,74,238,2019,3.875,3.4375,4.75,3.713749084,3.075064021,2.506528068,1.066049736,-0.000181223,-0.190037466,-0.355386296,0,0,0,2.344417043,3.28449193,2.556372894,2.907251389,2.903289434,2.406273055,1.530429287
RidlRi00,Riley Ridley,Chicago Bears,WR,WR,0,73,200,2019,,,,1.624597323,1.974028341,1.892005313,2.004021318,1.780051556,1.47721907,1.122577855,,,,2.4006751,2.763515064,2.561768648,2.546470099,2.382937836,2.163234615,1.99239642
RobiAl02,Allen Robinson,Chicago Bears,WR,WR,5,74,220,2019,7.875,0.125,6.125,4.98873031,3.850467629,3.00851159,1.681231031,0.341918775,-0.156356873,-0.347779225,0,0,0,3.902113469,3.585514211,3.344301458,3.081809012,2.956199384,2.724768174,1.813945278
ShahAd00,Adam Shaheen,Chicago Bears,TE,TE,2,78,257,2019,,1.9375,0.8125,1.834237718,1.589418013,1.547879963,1.409843736,1.24587,0.964763376,0.620842711,,0,0,2.037594146,1.662983512,1.606884067,1.501932659,1.438997609,1.496902729,1.164023957
TrubMi00,Mitchell Trubisky,Chicago Bears,QB,QB,2,74,215,2019,,8.4375,16.4375,12.62777342,13.45847737,13.50716845,13.29738465,13.16240619,12.91967893,12.61329912,,0,0,3.84,3.84,3.84,3.84,3.84,3.84,3.84
WhytKe00,"Kerrith Whyte, Jr.",Chicago Bears,RB,RB,0,70,204,2019,,,,1.31709,1.331972096,1.343086222,1.347849581,1.344832825,1.334798686,1.317688193,,,,3.84,3.84,3.84,3.84,3.84,3.84,3.84
WimsJa00,Javon Wims,Chicago Bears,WR,WR,1,74,221,2019,,,0.1875,1.41039679,1.191559411,1.399371259,1.149735066,0.846380526,0.415152844,-0.011516182,,,0,2.987666571,2.786498436,2.802252559,2.486411724,2.365480158,2.008634895,1.802967459
BernGi00,Giovani Bernard,Cincinnati Bengals,RB,RB,6,69,205,2019,5.1875,6.8125,3.8125,4.828152744,3.21339204,2.12406737,1.09612753,-0.01369802,-0.183202309,-0.337500229,0,0,0,3.888519451,3.958871943,3.317986659,2.936457772,2.352089368,1.63548256,1.465999263
BoydTy00,Tyler Boyd,Cincinnati Bengals,WR,WR,3,74,203,2019,4.375,2.1875,9.0625,6.983147706,6.419175396,5.261408683,4.604778066,3.247893989,2.013128717,0.601451982,0,0,0,3.994707059,3.976798694,4.195061963,3.544921331,3.422664799,3.575090635,3.152880896
CartCe00,Cethan Carter,Cincinnati Bengals,TE,TE,2,75,248,2019,,0,0,0.591193855,0.462435003,0.443035589,0.383478011,0.287378556,0.046368402,-0.048109118,,0,0,2.014336403,1.641813572,1.522289085,1.469651692,1.377896234,1.502397679,1.193990473
CoopPh00,Pharoh Cooper,Cincinnati Bengals,WR,WR,3,71,208,2019,0.5625,0.8125,0,2.148890736,1.606018553,1.185255379,1.093303972,0.39692409,-0.006480666,-0.140593041,0,0,0,3.5647395,2.97557,2.544076525,2.960755892,2.639520662,1.258746091,1.429564146
DaltAn00,Andy Dalton,Cincinnati Bengals,QB,QB,8,74,220,2019,16.3125,13.1875,10.9375,11.98359543,9.612446218,8.366985195,6.445293643,3.541003601,1.918860736,-0.077884607,0,0,0,5.841042304,6.602941037,6.817651988,5.419084456,6.908293178,4.798876941,5.001479219
DoleJa00,Jake Dolegala,Cincinnati Bengals,QB,QB,3,79,242,2019,0,0,0,2.241451648,1.715340105,2.009196901,2.174504496,1.099556035,0.34615061,-0.060652963,0,0,0,5.670377698,4.503137276,5.385916316,4.098492039,4.317166727,3.314421478,3.452572088
EifeTy00,Tyler Eifert,Cincinnati Bengals,TE,TE,6,78,255,2019,4.3125,0.3125,1.5,2.001665896,1.456703628,1.112048918,0.72842952,0.42320408,0.007285788,-0.057679568,0,0,0,1.775594465,1.990424372,1.522798834,1.411688315,1.109597363,0.84386426,0.951073286
