PlayerID,CompRank,CompID,CompName,CompYr,Similarity,Sim_Adjust,Neg3YrAV,Neg2YrAV,Neg1YrAV,0YrAV,1YrAV,2YrAV,3YrAV,4YrAV,5YrAV,6YrAV,YrDiff,AgeDiff,SzDiff,DrftDiff,RosterDiff,SttsDiff
HallEm01,2,DossKe00,Keelan Doss,2019,53.22513933570472,0.0,,,,0.8125,,,,,,,1.21,1.25,0.9101545216455533,1.25,0.02472781126196555,0.9485032435283022
HallEm01,3,RobiLa01,Laurent Robinson,2007,52.17218273624476,0.0,,,,3.125,0.3125,1.4375,2.8125,9.5,1.4375,0.0,0.73,0.75,0.9648613649113076,0.25195503608304304,1.0454908900753555,0.8659587402951556
HallEm01,4,FounDa00,Daurice Fountain,2018,51.54873533034888,0.0,,,,0.0,0.0,,,,,,1.17,1.25,0.8709600103346056,1.141746824526945,0.005565084648299301,0.8984383105239309
HallEm01,5,HodgKh00,KhaDarel Hodge,2018,51.413253670605386,0.0,,,,0.125,0.5,,,,,,1.17,1.25,0.9220074053371341,1.25,-0.017556773072379128,0.8984383105239309
HallEm01,6,McAdJa00,Jason McAddley,2002,50.851281644278835,0.0,,,,2.625,0.3125,0.25,0.8125,0.0,0.0,0.0,0.53,1.25,0.956872315898752,0.8909648345913732,0.9304809333212034,0.22439663857075587
HallEm01,7,WhitIs00,Isaac Whitney,2017,50.44621384336669,0.0,,,,0.0,0.0,0.0,,,,,1.13,1.25,0.9304798409040897,1.25,-0.05431012836255533,0.9326641327363421
HallEm01,8,MoorCl00,Clarence Moore,2004,49.32817399577509,0.0,,,,3.4375,0.375,0.375,0.0,0.0,0.0,0.0,0.61,0.75,0.3072330607000414,1.25,0.717125132042986,0.8333479903193282
HallEm01,9,BuchWi01,Will Buchanon,2006,48.67318313032037,0.0,,,,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.69,1.25,1.0800772608227767,1.25,0.01041810332951898,0.8267732307624903
HallEm01,10,EdisDo00,Dominique Edison,2009,47.922668208068735,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81,1.25,1.1650386304113882,1.25,-0.08432524730109736,0.879128620377793
HaskDw00,1,BollKy00,Kyle Boller,2004,51.86328665166322,0.0,,,4.6875,9.9375,6.5625,2.4375,5.9375,0.0,2.75,0.0625,0.61,1.25,0.9220074053371342,1.0969068910760513,0.728745113105077,0.2510281266002462
